"อำเภอ","ชื่อภาษาอังกฤษ","จังหวัด","Province","จำนวนตำบล"
เกาะลันตา,Ko Lanta,กระบี่,Krabi,5
เขาพนม,Khao Phanom,กระบี่,Krabi,6
คลองท่อม,Khlong Thom,กระบี่,Krabi,7
ปลายพระยา,Plai Phraya,กระบี่,Krabi,4
เมืองกระบี่,Mueang Krabi,กระบี่,Krabi,10
ลำทับ,Lam Thap,กระบี่,Krabi,4
เหนือคลอง,Nuea Khlong,กระบี่,Krabi,8
อ่าวลึก,Ao Luek,กระบี่,Krabi,9
เขตคลองเตย,Khet Khlong Toei,กรุงเทพมหานคร,Bangkok,6
เขตคลองสาน,Khet Khlong San,กรุงเทพมหานคร,Bangkok,4
เขตคลองสามวา,Khet Khlong Sam Wa,กรุงเทพมหานคร,Bangkok,5
เขตคันนายาว,Khet Khan Na Yao,กรุงเทพมหานคร,Bangkok,1
เขตจตุจักร,Khet Chatuchak,กรุงเทพมหานคร,Bangkok,5
เขตจอมทอง,Khet Chom Thong,กรุงเทพมหานคร,Bangkok,4
เขตดอนเมือง,Khet Don Mueang,กรุงเทพมหานคร,Bangkok,1
เขตดินแดง,Khet Din Daeng,กรุงเทพมหานคร,Bangkok,2
เขตดุสิต,Khet Dusit,กรุงเทพมหานคร,Bangkok,5
เขตตลิ่งชัน,Khet Taling Chan,กรุงเทพมหานคร,Bangkok,6
เขตทวีวัฒนา,Khet Thawi Watthana,กรุงเทพมหานคร,Bangkok,2
เขตทุ่งครุ,Khet Thung Khru,กรุงเทพมหานคร,Bangkok,2
เขตธนบุรี,Khet Thon Buri,กรุงเทพมหานคร,Bangkok,7
เขตบางกอกน้อย,Khet Bangkok Noi,กรุงเทพมหานคร,Bangkok,5
เขตบางกอกใหญ่,Khet Bangkok Yai,กรุงเทพมหานคร,Bangkok,2
เขตบางกะปิ,Khet Bang Kapi,กรุงเทพมหานคร,Bangkok,2
เขตบางขุนเทียน,Khet Bang Khun Thian,กรุงเทพมหานคร,Bangkok,2
เขตบางเขน,Khet Bang Khen,กรุงเทพมหานคร,Bangkok,2
เขตบางคอแหลม,Khet Bang Kho Laem,กรุงเทพมหานคร,Bangkok,3
เขตบางแค,Khet Bang Khae,กรุงเทพมหานคร,Bangkok,4
เขตบางซื่อ,Khet Bang Sue,กรุงเทพมหานคร,Bangkok,1
เขตบางนา,Khet Bang Na,กรุงเทพมหานคร,Bangkok,1
เขตบางบอน,Khet Bang Bon,กรุงเทพมหานคร,Bangkok,1
เขตบางพลัด,Khet Bang Phlat,กรุงเทพมหานคร,Bangkok,4
เขตบางรัก,Khet Bang Rak,กรุงเทพมหานคร,Bangkok,5
เขตบึงกุ่ม,Khet Bueng Kum,กรุงเทพมหานคร,Bangkok,3
เขตปทุมวัน,Khet Pathum Wan,กรุงเทพมหานคร,Bangkok,4
เขตประเวศ,Khet Prawet,กรุงเทพมหานคร,Bangkok,4
เขตป้อมปราบศัตรูพ่าย,Khet Pom Prap Sattru Phai,กรุงเทพมหานคร,Bangkok,5
เขตพญาไท,Khet Phaya Thai,กรุงเทพมหานคร,Bangkok,1
เขตพระโขนง,Khet Phra Khanong,กรุงเทพมหานคร,Bangkok,1
เขตพระนคร,Khet Phra Nakhon,กรุงเทพมหานคร,Bangkok,12
เขตภาษีเจริญ,Khet Phasi Charoen,กรุงเทพมหานคร,Bangkok,10
เขตมีนบุรี,Khet Min Buri,กรุงเทพมหานคร,Bangkok,2
เขตยานนาวา,Khet Yan Nawa,กรุงเทพมหานคร,Bangkok,2
เขตราชเทวี,Khet Ratchathewi,กรุงเทพมหานคร,Bangkok,4
เขตราษฎร์บูรณะ,Khet Rat Burana,กรุงเทพมหานคร,Bangkok,2
เขตลาดกระบัง,Khet Lat Krabang,กรุงเทพมหานคร,Bangkok,6
เขตลาดพร้าว,Khet Lat Phrao,กรุงเทพมหานคร,Bangkok,2
เขตวังทองหลาง,Khet Wang Thonglang,กรุงเทพมหานคร,Bangkok,1
เขตวัฒนา,Khet Watthana,กรุงเทพมหานคร,Bangkok,3
เขตสวนหลวง,Khet Suan Luang,กรุงเทพมหานคร,Bangkok,1
เขตสะพานสูง,Khet Saphan Sung,กรุงเทพมหานคร,Bangkok,1
เขตสัมพันธวงศ์,Khet Samphanthawong,กรุงเทพมหานคร,Bangkok,3
เขตสาทร,Khet Sathon,กรุงเทพมหานคร,Bangkok,3
เขตสายไหม,Khet Sai Mai,กรุงเทพมหานคร,Bangkok,3
เขตหนองแขม,Khet Nong Khaem,กรุงเทพมหานคร,Bangkok,2
เขตหนองจอก,Khet Nong Chok,กรุงเทพมหานคร,Bangkok,8
เขตหลักสี่,Khet Lak Si,กรุงเทพมหานคร,Bangkok,2
เขตห้วยขวาง,Khet Huai Khwang,กรุงเทพมหานคร,Bangkok,3
ด่านมะขามเตี้ย,Dan Makham Tia,กาญจนบุรี,Kanchanaburi,4
ทองผาภูมิ,Pha Phum,กาญจนบุรี,Kanchanaburi,7
ท่าม่วง,Tha Muang,กาญจนบุรี,Kanchanaburi,13
ท่ามะกา,Tha Maka,กาญจนบุรี,Kanchanaburi,17
ไทรโยค,Sai Yok,กาญจนบุรี,Kanchanaburi,7
บ่อพลอย,Bo Phloi,กาญจนบุรี,Kanchanaburi,6
พนมทวน,Phanom Thuan,กาญจนบุรี,Kanchanaburi,8
เมืองกาญจนบุรี,Mueang Kanchanaburi,กาญจนบุรี,Kanchanaburi,13
เลาขวัญ,Lao Khwan,กาญจนบุรี,Kanchanaburi,7
ศรีสวัสดิ์,Si Sawat,กาญจนบุรี,Kanchanaburi,6
สังขละบุรี,Sangkhla Buri,กาญจนบุรี,Kanchanaburi,3
หนองปรือ,Nong Prue,กาญจนบุรี,Kanchanaburi,3
ห้วยกระเจา,Huai Krachao,กาญจนบุรี,Kanchanaburi,4
กมลาไสย,Kamalasai,กาฬสินธุ์,Kalasin,8
กุฉินารายณ์,Kuchinarai,กาฬสินธุ์,Kalasin,12
เขาวง,Khao Wong,กาฬสินธุ์,Kalasin,6
คำม่วง,Kham Muang,กาฬสินธุ์,Kalasin,6
ฆ้องชัย,Khong Chai,กาฬสินธุ์,Kalasin,5
ดอนจาน,Don Chan,กาฬสินธุ์,Kalasin,5
ท่าคันโท,Tha Khantho,กาฬสินธุ์,Kalasin,6
นาคู,Na Khu,กาฬสินธุ์,Kalasin,5
นามน,Na Mon,กาฬสินธุ์,Kalasin,5
เมืองกาฬสินธุ์,Mueang Kalasin,กาฬสินธุ์,Kalasin,17
ยางตลาด,Yang Talat,กาฬสินธุ์,Kalasin,15
ร่องคำ,Rong Kham,กาฬสินธุ์,Kalasin,3
สมเด็จ,Somdet,กาฬสินธุ์,Kalasin,8
สหัสขันธ์,Sahatsakhan,กาฬสินธุ์,Kalasin,8
สามชัย,Sam Chai,กาฬสินธุ์,Kalasin,4
หนองกุงศรี,Nong Kung Si,กาฬสินธุ์,Kalasin,9
ห้วยผึ้ง,Huai Phueng,กาฬสินธุ์,Kalasin,4
ห้วยเม็ก,Huai Mek,กาฬสินธุ์,Kalasin,9
โกสัมพีนคร,Kosamphi Nakhon,กำแพงเพชร,Kamphaeng Phet,3
ขาณุวรลักษบุรี,Khanu Woralaksaburi,กำแพงเพชร,Kamphaeng Phet,11
คลองขลุง,Khlong Khlung,กำแพงเพชร,Kamphaeng Phet,10
คลองลาน,Khlong Lan,กำแพงเพชร,Kamphaeng Phet,4
ทรายทองวัฒนา,Sai Thong Watthana,กำแพงเพชร,Kamphaeng Phet,3
ไทรงาม,Sai Ngam,กำแพงเพชร,Kamphaeng Phet,7
บึงสามัคคี,Bueng Samakkhi,กำแพงเพชร,Kamphaeng Phet,4
ปางศิลาทอง,Pang Sila Thong,กำแพงเพชร,Kamphaeng Phet,3
พรานกระต่าย,Phran Kratai,กำแพงเพชร,Kamphaeng Phet,10
เมืองกำแพงเพชร,Mueang Kamphaeng Phet,กำแพงเพชร,Kamphaeng Phet,16
ลานกระบือ,Lan Krabue,กำแพงเพชร,Kamphaeng Phet,7
กระนวน,Kranuan,ขอนแก่น,Khon Kaen,9
เขาสวนกวาง,Khao Suan Kwang,ขอนแก่น,Khon Kaen,5
โคกโพธิ์ไชย,Khok Pho Chai,ขอนแก่น,Khon Kaen,4
ชนบท,Chonnabot,ขอนแก่น,Khon Kaen,8
ชุมแพ,Chum Phae,ขอนแก่น,Khon Kaen,12
ซำสูง,Sam Sung,ขอนแก่น,Khon Kaen,5
น้ำพอง,Nam Phong,ขอนแก่น,Khon Kaen,12
โนนศิลา,Non Sila,ขอนแก่น,Khon Kaen,5
บ้านไผ่,Ban Phai,ขอนแก่น,Khon Kaen,10
บ้านฝาง,Ban Fang,ขอนแก่น,Khon Kaen,7
บ้านแฮด,Ban Haet,ขอนแก่น,Khon Kaen,4
เปือยน้อย,Pueai Noi,ขอนแก่น,Khon Kaen,4
พระยืน,Phra Yuen,ขอนแก่น,Khon Kaen,5
พล,Phon,ขอนแก่น,Khon Kaen,12
ภูผาม่าน,Phu Pha Man,ขอนแก่น,Khon Kaen,5
ภูเวียง,Phu Wiang,ขอนแก่น,Khon Kaen,11
มัญจาคีรี,Mancha Khiri,ขอนแก่น,Khon Kaen,8
เมืองขอนแก่น,Mueang Khon Kaen,ขอนแก่น,Khon Kaen,18
เวียงเก่า,Wiang Kao,ขอนแก่น,Khon Kaen,3
แวงน้อย,Waeng Noi,ขอนแก่น,Khon Kaen,6
แวงใหญ่,Waeng Yai,ขอนแก่น,Khon Kaen,5
สีชมพู,Si Chomphu,ขอนแก่น,Khon Kaen,10
หนองนาคำ,Nong Na Kham,ขอนแก่น,Khon Kaen,3
หนองเรือ,Nong Ruea,ขอนแก่น,Khon Kaen,10
หนองสองห้อง,Nong Song Hong,ขอนแก่น,Khon Kaen,12
อุบลรัตน์,Ubolratana,ขอนแก่น,Khon Kaen,6
แก่งหางแมว,Kaeng Hang Maeo,จันทบุรี,Chanthaburi,5
ขลุง,Khlung,จันทบุรี,Chanthaburi,12
เขาคิชฌกูฏ,Khoa Khitchakut,จันทบุรี,Chanthaburi,5
ท่าใหม่,Tha Mai,จันทบุรี,Chanthaburi,14
นายายอาม,Na Yai Am,จันทบุรี,Chanthaburi,6
โป่งน้ำร้อน,Pong Nam Ron,จันทบุรี,Chanthaburi,5
มะขาม,Makham,จันทบุรี,Chanthaburi,6
เมืองจันทบุรี,Mueang Chanthaburi,จันทบุรี,Chanthaburi,11
สอยดาว,Soi Dao,จันทบุรี,Chanthaburi,5
แหลมสิงห์,Laem Sing,จันทบุรี,Chanthaburi,7
คลองเขื่อน,Khlong Khuean,ฉะเชิงเทรา,Chachoengsao,5
ท่าตะเกียบ,Tha Takiap,ฉะเชิงเทรา,Chachoengsao,2
บางคล้า,Bang Khla,ฉะเชิงเทรา,Chachoengsao,9
บางน้ำเปรี้ยว,Bang Nam Priao,ฉะเชิงเทรา,Chachoengsao,10
บางปะกง,Bang Pakong,ฉะเชิงเทรา,Chachoengsao,12
บ้านโพธิ์,Ban Pho,ฉะเชิงเทรา,Chachoengsao,17
แปลงยาว,Plaeng Yao,ฉะเชิงเทรา,Chachoengsao,4
พนมสารคาม,Phanom Sarakham,ฉะเชิงเทรา,Chachoengsao,8
เมืองฉะเชิงเทรา,Mueang Chachoengsao,ฉะเชิงเทรา,Chachoengsao,19
ราชสาส์น,Ratchasan,ฉะเชิงเทรา,Chachoengsao,3
สนามชัยเขต,Sanam Chai Khet,ฉะเชิงเทรา,Chachoengsao,4
เกาะจันทร์,Ko Chan,ชลบุรี,Chon Buri,2
เกาะสีชัง,Ko Sichang,ชลบุรี,Chon Buri,1
บ่อทอง,Bo Thong,ชลบุรี,Chon Buri,6
บางละมุง,Bang Lamung,ชลบุรี,Chon Buri,8
บ้านบึง,Ban Bueng,ชลบุรี,Chon Buri,8
พนัสนิคม,Phanat Nikhom,ชลบุรี,Chon Buri,20
พานทอง,Phan Thong,ชลบุรี,Chon Buri,11
เมืองชลบุรี,Mueang Chon Buri,ชลบุรี,Chon Buri,18
ศรีราชา,Si Racha,ชลบุรี,Chon Buri,8
สัตหีบ,Sattahip,ชลบุรี,Chon Buri,5
หนองใหญ่,Nong Yai,ชลบุรี,Chon Buri,5
เนินขาม,Noen Kham,ชัยนาท,Chai Nat,3
มโนรมย์,Manorom,ชัยนาท,Chai Nat,7
เมืองชัยนาท,Mueang Chai Nat,ชัยนาท,Chai Nat,9
วัดสิงห์,Wat Sing,ชัยนาท,Chai Nat,7
สรรคบุรี,Sankhaburi,ชัยนาท,Chai Nat,8
สรรพยา,Sapphaya,ชัยนาท,Chai Nat,7
หนองมะโมง,Nong Mamong,ชัยนาท,Chai Nat,4
หันคา,Hankha,ชัยนาท,Chai Nat,8
เกษตรสมบูรณ์,Kaset Sombun,ชัยภูมิ,Chaiyaphum,11
แก้งคร้อ,Kaeng Khro,ชัยภูมิ,Chaiyaphum,10
คอนสวรรค์,Khon Sawan,ชัยภูมิ,Chaiyaphum,9
คอนสาร,Khon San,ชัยภูมิ,Chaiyaphum,8
จัตุรัส,Chatturat,ชัยภูมิ,Chaiyaphum,9
ซับใหญ่,Sap Yai,ชัยภูมิ,Chaiyaphum,3
เทพสถิต,Thep Sathit,ชัยภูมิ,Chaiyaphum,5
เนินสง่า,Noen Sa-nga,ชัยภูมิ,Chaiyaphum,4
บ้านเขว้า,Ban Khwao,ชัยภูมิ,Chaiyaphum,6
บ้านแท่น,Ban Thaen,ชัยภูมิ,Chaiyaphum,5
บำเหน็จณรงค์,Bamnet Narong,ชัยภูมิ,Chaiyaphum,7
ภักดีชุมพล,Phakdi Chumphon,ชัยภูมิ,Chaiyaphum,4
ภูเขียว,Phu Khiao,ชัยภูมิ,Chaiyaphum,11
เมืองชัยภูมิ,Mueang Chaiyaphum,ชัยภูมิ,Chaiyaphum,19
หนองบัวแดง,Nong Bua Daeng,ชัยภูมิ,Chaiyaphum,8
หนองบัวระเหว,Nong Bua Rawe,ชัยภูมิ,Chaiyaphum,5
ท่าแซะ,Tha Sae,ชุมพร,Chumphon,10
ทุ่งตะโก,Thung Tako,ชุมพร,Chumphon,4
ปะทิว,Pathio,ชุมพร,Chumphon,7
พะโต๊ะ,Phato,ชุมพร,Chumphon,4
เมืองชุมพร,Mueang Chumphon,ชุมพร,Chumphon,17
ละแม,Lamae,ชุมพร,Chumphon,4
สวี,Sawi,ชุมพร,Chumphon,11
หลังสวน,Lang Suan,ชุมพร,Chumphon,13
ขุนตาล,Khun Tan,เชียงราย,Chiang Rai,3
เชียงของ,Chiang Khong,เชียงราย,Chiang Rai,7
เชียงแสน,Chiang Saen,เชียงราย,Chiang Rai,6
ดอยหลวง,Doi Luang,เชียงราย,Chiang Rai,3
เทิง,Thoeng,เชียงราย,Chiang Rai,10
ป่าแดด,Pa Daet,เชียงราย,Chiang Rai,5
พญาเม็งราย,Phaya Mengrai,เชียงราย,Chiang Rai,5
พาน,Phan,เชียงราย,Chiang Rai,15
เมืองเชียงราย,Mueang Chiang Rai,เชียงราย,Chiang Rai,16
แม่จัน,Mae Chan,เชียงราย,Chiang Rai,11
แม่ฟ้าหลวง,Mae Fa Luang,เชียงราย,Chiang Rai,4
แม่ลาว,Mae Lao,เชียงราย,Chiang Rai,5
แม่สรวย,Mae Suai,เชียงราย,Chiang Rai,7
แม่สาย,Mae Sai,เชียงราย,Chiang Rai,8
เวียงแก่น,Wiang Kaen,เชียงราย,Chiang Rai,4
เวียงชัย,Wiang Chai,เชียงราย,Chiang Rai,5
เวียงเชียงรุ้ง,Wiang Chiang Rung,เชียงราย,Chiang Rai,3
เวียงป่าเป้า,Wiang Pa Pao,เชียงราย,Chiang Rai,7
กัลยาณิวัฒนา,Galyani Vadhana,เชียงใหม่,Chiang Mai,3
จอมทอง,Chom Thong,เชียงใหม่,Chiang Mai,6
เชียงดาว,Chiang Dao,เชียงใหม่,Chiang Mai,7
ไชยปราการ,Chai Prakan,เชียงใหม่,Chiang Mai,4
ดอยเต่า,Doi Tao,เชียงใหม่,Chiang Mai,6
ดอยสะเก็ด,Doi Saket,เชียงใหม่,Chiang Mai,14
ดอยหล่อ,Doi Lo,เชียงใหม่,Chiang Mai,4
ฝาง,Fang,เชียงใหม่,Chiang Mai,8
พร้าว,Phrao,เชียงใหม่,Chiang Mai,11
เมืองเชียงใหม่,Mueang Chiang Mai,เชียงใหม่,Chiang Mai,16
แม่แจ่ม,Mae Chaem,เชียงใหม่,Chiang Mai,7
แม่แตง,Mae Taeng,เชียงใหม่,Chiang Mai,14
แม่ริม,Mae Rim,เชียงใหม่,Chiang Mai,11
แม่วาง,Mae Wang,เชียงใหม่,Chiang Mai,5
แม่ออน,Mae On,เชียงใหม่,Chiang Mai,6
แม่อาย,Mae Ai,เชียงใหม่,Chiang Mai,7
เวียงแหง,Wiang Haeng,เชียงใหม่,Chiang Mai,3
สะเมิง,Samoeng,เชียงใหม่,Chiang Mai,5
สันกำแพง,San Kamphaeng,เชียงใหม่,Chiang Mai,10
สันทราย,San Sai,เชียงใหม่,Chiang Mai,12
สันป่าตอง,San Pa Tong,เชียงใหม่,Chiang Mai,11
สารภี,Saraphi,เชียงใหม่,Chiang Mai,12
หางดง,Hang Dong,เชียงใหม่,Chiang Mai,11
อมก๋อย,Omkoi,เชียงใหม่,Chiang Mai,6
ฮอด,Hot,เชียงใหม่,Chiang Mai,6
กันตัง,Kantang,ตรัง,Trang,14
นาโยง,Na Yong,ตรัง,Trang,6
ปะเหลียน,Palian,ตรัง,Trang,10
เมืองตรัง,Mueang Trang,ตรัง,Trang,15
ย่านตาขาว,Yan Ta Khao,ตรัง,Trang,8
รัษฎา,Ratsada,ตรัง,Trang,5
วังวิเศษ,Wang Wiset,ตรัง,Trang,5
สิเกา,Sikao,ตรัง,Trang,5
ห้วยยอด,Huai Yot,ตรัง,Trang,16
หาดสำราญ,Hat Samran,ตรัง,Trang,3
เกาะกูด,Ko Kut,ตราด,Trat,2
เกาะช้าง,Ko Chang,ตราด,Trat,2
เขาสมิง,Khao Saming,ตราด,Trat,8
คลองใหญ่,Khlong Yai,ตราด,Trat,3
บ่อไร่,Bo Rai,ตราด,Trat,5
เมืองตราด,Mueang Trat,ตราด,Trat,14
แหลมงอบ,Laem Ngop,ตราด,Trat,4
ท่าสองยาง,Tha Song Yang,ตาก,Tak,6
บ้านตาก,Ban Tak,ตาก,Tak,7
พบพระ,Phop Phra,ตาก,Tak,5
เมืองตาก,Mueang Tak,ตาก,Tak,14
แม่ระมาด,Mae Ramat,ตาก,Tak,6
แม่สอด,Mae Sot,ตาก,Tak,10
วังเจ้า,Wang Chao,ตาก,Tak,3
สามเงา,Sam Ngao,ตาก,Tak,6
อุ้มผาง,Umphang,ตาก,Tak,6
บ้านนา,Ban Na,นครนายก,Nakhon Nayok,10
ปากพลี,Pak Phli,นครนายก,Nakhon Nayok,7
เมืองนครนายก,Mueang Nakhon Nayok,นครนายก,Nakhon Nayok,13
องครักษ์,Ongkharak,นครนายก,Nakhon Nayok,11
กำแพงแสน,Kamphaeng Saen,นครปฐม,Nakhon Pathom,15
ดอนตูม,Don Tum,นครปฐม,Nakhon Pathom,8
นครชัยศรี,Nakhon Chai Si,นครปฐม,Nakhon Pathom,24
บางเลน,Bang Len,นครปฐม,Nakhon Pathom,15
พุทธมณฑล,Phutthamonthon,นครปฐม,Nakhon Pathom,3
เมืองนครปฐม,Mueang Nakhon Pathom,นครปฐม,Nakhon Pathom,25
สามพราน,Sam Phran,นครปฐม,Nakhon Pathom,16
ท่าอุเทน,Tha Uthen,นครพนม,Nakhon Phanom,9
ธาตุพนม,That Phanom,นครพนม,Nakhon Phanom,12
นาแก,Na Kae,นครพนม,Nakhon Phanom,12
นาทม,Na Thom,นครพนม,Nakhon Phanom,3
นาหว้า,Na Wa,นครพนม,Nakhon Phanom,6
บ้านแพง,Ban Phaeng,นครพนม,Nakhon Phanom,6
ปลาปาก,Pla Pak,นครพนม,Nakhon Phanom,8
โพนสวรรค์,Phon Sawan,นครพนม,Nakhon Phanom,7
เมืองนครพนม,Mueang Nakhon Phanom,นครพนม,Nakhon Phanom,15
เรณูนคร,Renu Nakhon,นครพนม,Nakhon Phanom,8
วังยาง,Wang Yang,นครพนม,Nakhon Phanom,4
ศรีสงคราม,Si Songkhram,นครพนม,Nakhon Phanom,9
แก้งสนามนาง,Kaeng Sanam Nang,นครราชสีมา,Nakhon Ratchasima,5
ขามทะเลสอ,Kham Thale So,นครราชสีมา,Nakhon Ratchasima,5
ขามสะแกแสง,Kham Sakaesaeng,นครราชสีมา,Nakhon Ratchasima,7
คง,Khong,นครราชสีมา,Nakhon Ratchasima,10
ครบุรี,Khon Buri,นครราชสีมา,Nakhon Ratchasima,12
จักราช,Chakkarat,นครราชสีมา,Nakhon Ratchasima,13
เฉลิมพระเกียรติ,Chaloem Phra Kiat,นครราชสีมา,Nakhon Ratchasima,5
ชุมพวง,Chum Phuang,นครราชสีมา,Nakhon Ratchasima,13
โชคชัย,Chok Chai,นครราชสีมา,Nakhon Ratchasima,10
ด่านขุนทด,Dan Khun Thot,นครราชสีมา,Nakhon Ratchasima,16
เทพารักษ์,Thepharak,นครราชสีมา,Nakhon Ratchasima,4
โนนแดง,Non Daeng,นครราชสีมา,Nakhon Ratchasima,5
โนนไทย,Non Thai,นครราชสีมา,Nakhon Ratchasima,15
โนนสูง,Non Sung,นครราชสีมา,Nakhon Ratchasima,16
